subj	seqno	ndcm	pname	tr	matrix	acqdir	dname	fullpath
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	010_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/010_dwi-dwi_dir-PA/
20231103	21	2	func-bold_task-rest 	1300	 110 0 0 110	COL 	010_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/010_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	011_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/011_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	011_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/011_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	011_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/011_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	012_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/012_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	012_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/012_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	012_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/012_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	013_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/013_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	013_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/013_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	013_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/013_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	014_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/014_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	014_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/014_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	014_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/014_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	015_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/015_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	015_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/015_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	015_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/015_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	016_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/016_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	016_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/016_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	016_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/016_func-bold_task-rest/
20231103	35	2	derivfunc-bold_task-rest_desc-moco	1300	 110 0 0 110	COL 	017_derivfunc-bold_task-rest_desc-moco	dcm-rehead/20231103Luna_PilotSPA2/017_derivfunc-bold_task-rest_desc-moco/
20231103	41	1	dwi-dwi_dir-PA	5500	 148 0 0 148	COL 	017_dwi-dwi_dir-PA	dcm-rehead/20231103Luna_PilotSPA2/017_dwi-dwi_dir-PA/
20231103	34	1	func-bold_task-rest 	1300	 110 0 0 110	COL 	017_func-bold_task-rest	dcm-rehead/20231103Luna_PilotSPA2/017_func-bold_task-rest/
